Stage,Units,Sample,Value
Electron,Coulombs,1,4.781
Electron,Coulombs,2,4.795
Electron,Coulombs,3,4.769
Electron,Coulombs,4,4.792
Electron,Coulombs,5,4.779
Electron,Coulombs,6,4.775
Electron,Coulombs,7,4.772
Electron,Coulombs,8,4.791
Electron,Coulombs,9,4.782
Electron,Coulombs,10,4.767
Electron,Coulombs,11,4.764
Electron,Coulombs,12,4.776
Electron,Coulombs,13,4.771
Electron,Coulombs,14,4.789
Electron,Coulombs,15,4.772
Electron,Coulombs,16,4.789
Electron,Coulombs,17,4.764
Electron,Coulombs,18,4.774
Electron,Coulombs,19,4.778
Electron,Coulombs,20,4.791
Electron,Coulombs,21,4.777
Electron,Coulombs,22,4.765
Electron,Coulombs,23,4.785
Electron,Coulombs,24,4.805
Electron,Coulombs,25,4.768
Electron,Coulombs,26,4.801
Electron,Coulombs,27,4.785
Electron,Coulombs,28,4.783
Electron,Coulombs,29,4.808
Electron,Coulombs,30,4.771
Electron,Coulombs,31,4.809
Electron,Coulombs,32,4.79
Electron,Coulombs,33,4.779
Electron,Coulombs,34,4.788
Electron,Coulombs,35,4.772
Electron,Coulombs,36,4.791
Electron,Coulombs,37,4.788
Electron,Coulombs,38,4.783
Electron,Coulombs,39,4.74
Electron,Coulombs,40,4.775
Electron,Coulombs,41,4.761
Electron,Coulombs,42,4.792
Electron,Coulombs,43,4.758
Electron,Coulombs,44,4.764
Electron,Coulombs,45,4.81
Electron,Coulombs,46,4.799
Electron,Coulombs,47,4.779
Electron,Coulombs,48,4.797
Electron,Coulombs,49,4.79
Electron,Coulombs,50,4.747
Electron,Coulombs,51,4.769
Electron,Coulombs,52,4.806
Electron,Coulombs,53,4.779
Electron,Coulombs,54,4.785
Electron,Coulombs,55,4.79
Electron,Coulombs,56,4.777
Electron,Coulombs,57,4.749
Electron,Coulombs,58,4.781
